cluster3,cluster4,cluster5,Latitude,Longitude
0,3,4,40.8340403,-73.8952708
2,2,2,40.5875431,-73.958196
1,0,1,40.6733867,-73.7756706
1,0,1,40.7594559,-73.752304
1,0,1,40.666037,-73.7591868
0,3,4,40.8288365,-73.8216118
1,0,1,40.7524887,-73.8268873
0,1,0,40.7606005,-73.9643142
1,0,1,40.7233642,-73.7757841
2,1,2,40.6837417,-73.9952334
2,2,3,40.5241828,-74.2347922
1,0,1,40.7088643,-73.7326394
2,1,2,40.6806417,-73.9533713
2,1,2,40.6682722,-73.9026252
2,1,2,40.635306,-73.9266726
2,2,2,40.6184717,-74.0212161
0,3,4,40.8278893,-73.8982037
0,1,0,40.7304639,-73.9514819
0,3,4,40.8266071,-73.9266316
1,0,1,40.6854852,-73.8581999
1,0,1,40.7578988,-73.7876045
2,1,2,40.6396923,-73.9532053
0,3,4,40.8244252,-73.8727052
0,1,0,40.7285016,-73.9179686
1,0,1,40.6814763,-73.7277536
1,0,1,40.6975581,-73.8527719
0,3,4,40.8726198,-73.9046763
0,1,0,40.754584,-73.9991446
1,0,1,40.7563194,-73.8336777
0,3,0,40.7871194,-73.9479233
2,1,0,40.7133484,-73.941387
2,1,2,40.6805545,-73.9085706
2,1,2,40.6639058,-73.9509752
2,1,2,40.6657792,-73.9194119
0,1,0,40.75658,-73.9297516
1,0,1,40.6956558,-73.7983005
2,2,2,40.6366356,-74.008377
1,0,1,40.7597083,-73.8388291
2,1,2,40.6607702,-73.9197423
0,3,4,40.8726198,-73.9046763
1,0,1,40.6959506,-73.8623681
0,3,4,40.8391702,-73.8362823
0,1,0,40.740443,-73.9945943
2,1,2,40.682394,-73.9958825
2,1,2,40.6866514,-73.9131379
2,1,2,40.635508,-73.9132766
0,3,4,40.8432227,-73.9391763
0,1,0,40.7581273,-73.9285011
2,1,2,40.6817416,-73.958584
0,3,0,40.7695595,-73.9060657
0,1,0,40.7574737,-73.9158069
0,1,0,40.7849752,-73.982638
1,0,1,40.7571844,-73.8339571
0,3,0,40.7993065,-73.9432328
2,1,0,40.7229337,-73.9886394
0,1,0,40.7154014,-73.9269272
1,0,1,40.7093676,-73.7671958
1,0,1,40.6030305,-73.8200508
2,2,3,40.5562561,-74.1576552
1,0,1,40.7566718,-73.8287931
2,1,0,40.7194676,-74.0043723
1,1,1,40.7035871,-73.8854565
2,1,0,40.6991916,-73.9551832
1,0,1,40.7083508,-73.813238
0,1,0,40.7433686,-73.9429774
0,3,4,40.84013,-73.8802991
1,0,1,40.6917127,-73.8647387
0,3,4,40.8794247,-73.8427393
2,1,2,40.696785,-73.9565804
0,3,4,40.8676984,-73.8567194
2,1,2,40.6780095,-73.9413784
1,0,1,40.7263282,-73.7661877
2,1,2,40.6436608,-73.9006685
2,1,2,40.6399295,-73.9493822
2,2,2,40.6428453,-73.9782501
2,1,0,40.7015064,-73.993283
0,3,4,40.842066,-73.8760851
1,1,0,40.7124417,-73.894019
0,1,0,40.7729859,-73.9461941
0,1,0,40.7791801,-73.9507928
2,1,0,40.7294318,-73.978027
1,1,2,40.6747669,-73.885351
2,1,2,40.6320672,-73.9186024
0,1,0,40.7521198,-73.9776766
1,0,1,40.7086744,-73.8307848
2,1,0,40.7058694,-74.0132549
0,1,0,40.7717319,-73.9829592
0,3,4,40.8212926,-73.9579119
2,1,2,40.6547986,-73.9394238
0,1,0,40.7832478,-73.9447234
0,3,4,40.8583759,-73.896364
0,1,0,40.7671193,-73.9564948
0,1,0,40.7795404,-73.9597725
1,0,1,40.6674727,-73.7938654
0,1,0,40.7661526,-73.9197778
1,0,1,40.6049786,-73.7544185
1,0,1,40.7446461,-73.7703999
1,0,1,40.7334612,-73.7354562
2,1,0,40.7170972,-73.9521229
1,1,2,40.6685245,-73.8901668
2,1,0,40.7005922,-73.9502882
1,1,2,40.6668534,-73.8906923
1,0,1,40.7577537,-73.7833817
2,1,2,40.6845033,-73.9263842
2,1,2,40.6351864,-73.9286112
2,1,0,40.7185558,-73.9882
0,3,4,40.8520677,-73.8686057
0,3,0,40.7960032,-73.9354092
0,1,0,40.7553632,-73.8872263
2,1,0,40.7209387,-73.993795
1,0,1,40.7404561,-73.8064612
2,1,2,40.694578,-73.9561419
0,3,4,40.9016707,-73.9061105
2,2,3,40.6347476,-74.1122528
0,3,4,40.8653624,-73.8704197
0,1,0,40.7597902,-73.9879256
1,0,1,40.6724944,-73.7415777
0,1,0,40.7150678,-73.9058683
0,3,4,40.8764759,-73.9044863
0,1,0,40.7698719,-73.9240803
2,2,3,40.6347036,-74.1065385
0,1,0,40.7422352,-73.9932914
2,2,2,40.5819083,-73.9519066
0,1,0,40.723812,-73.9324414
2,1,0,40.7019114,-73.936979
1,0,1,40.7587429,-73.7976041
0,3,4,40.846153,-73.9323244
0,3,4,40.8209989,-73.8968919
0,1,0,40.74445,-73.9730274
2,1,2,40.6676829,-73.9960674
0,1,0,40.7410276,-73.9941612
0,1,0,40.7629131,-73.9697999
0,3,4,40.8040166,-73.9309605
0,1,0,40.7387967,-73.977147
1,0,1,40.7538316,-73.818409
0,3,4,40.8680347,-73.8313844
2,1,2,40.6856945,-73.9355882
2,1,0,40.7106047,-73.9846738
0,1,0,40.7614858,-73.9605992
2,2,2,40.6020295,-73.9985631
2,2,3,40.6091902,-74.0801596
0,3,4,40.839537,-73.8583558
0,1,0,40.7509908,-73.9906233
0,3,4,40.8369385,-73.9271154
2,1,0,40.7234252,-73.9902736
0,1,0,40.7384884,-73.9899502
0,1,0,40.7820076,-73.951661
1,0,1,40.6859937,-73.8399215
2,2,3,40.595951,-74.0958614
0,1,0,40.7565681,-73.990276
0,3,4,40.8860779,-73.9024979
0,3,4,40.8883914,-73.846653
2,1,0,40.7198321,-73.9875432
1,0,1,40.7530101,-73.7543456
1,0,1,40.7515446,-73.8708432
2,1,2,40.6698646,-73.9505022
0,1,0,40.7667789,-73.9967618
0,3,4,40.835811,-73.9494462
1,0,1,40.7109458,-73.828099
2,1,0,40.7291123,-74.0106725
2,2,3,40.6232519,-74.0838257
1,0,1,40.7033417,-73.8002032
0,3,4,40.8835566,-73.8497345
2,1,2,40.6395418,-73.8896128
0,1,0,40.7704805,-73.9838549
0,1,0,40.7589746,-73.9189996
1,0,1,40.6677838,-73.862419
1,0,1,40.7575232,-73.8291338
2,1,2,40.6891029,-73.9450575
0,3,4,40.8814391,-73.8487484
2,1,2,40.6526435,-73.9497689
2,1,2,40.6503405,-73.9746115
0,3,4,40.8467631,-73.9337768
0,3,4,40.8884565,-73.841962
1,0,1,40.6660939,-73.7953901
